Lower altitude (km),Upper altitude (km),Feature type,Name,Temperature (K),Lower pressure (mbar),Upper pressure (mbar),Colour
-84.2570482548,29.7565942852,Layer,Troposphere,300-100,10000,200,
29.7565942852,160.189873381,Layer,Stratosphere,120-250,200,1,
160.189873381,271.451425323,Layer,Thermosphere,250-500,1,0.1,
29.7565942852,29.7565942852,Boundary,Tropopause,,200,200,
160.189873381,160.189873381,Boundary,Stratopause,,1,1,
-147.595147307,-178.579609544,Cloud layer,Water ice,,30000,50000,Cyan
-84.2570482548,-123.001396042,Cloud layer,Ammonium Hydrosulphide ice,,10000,20000,Brown
-28.1282428901,-37.0847438017,Cloud layer,Ammonia ice,,3000,4000,Grey
-0.0369468848,-16.8897622885,Cloud layer,Methane ice,,1000,2000,Blue
