1961	4	4	
1962	5	5	
1963	5	4	1
1964	3	3	
1965	12	12	
1966	10	10	
1967	1	1	
1968	7	7	
1969	23	23	
1970	5	5	
1971	12	12	
1972	6	6	
1973	13	13	
1974	9	9	
1975	9	9	
1976	6	6	
1977	6	6	
1978	12	12	
1979	4	4	
1980	13	13	
1981	10	10	
1982	16	15	1
1983	25	24	1
1984	37	32	5
1985	63	59	4
1986	9	9	
1987	8	8	
1988	21	21	
1989	30	26	4
1990	41	38	3
1991	42	36	6
1992	61	52	9
1993	48	41	7
1994	52	45	7
1995	51	40	11
1996	49	44	5
1997	61	51	10
1998	41	35	6
1999	23	18	5
2000	37	32	5
2001	47	42	5
2002	41	36	5
2003	16	14	2
2004	11	11	
2005	17	15	2
2006	28	22	6
2007	30	24	6
2008	40	35	5
2009	50	46	4
2010	36	29	7
2011	34	31	3
2012	21	19	2
2013	21	19	2
2014	18	16	2
2015	18	16	2
2016	20	18	2
2017	17	16	1
2018	15	14	1
2019	12	9	3
2020	18	14	4
2021	14	11	3
