Altitude (km),Pressure (mbar),Temperature (K)  
-1000,43556903721.6212,23933.1575640539
-900,7991923166.92325,13899.5263121336
-800,1466376864.48542,8072.3503024884
-700,269054276.897647,4688.1338214527
-600,49366711.7029422,2722.7013080779
-500,9057920.4035047,1581.2480392704
-400,1661968.54532114,918.3325964836
-300,304941.898646861,533.3348954876
-200,55951.4569707961,309.7419299217
-100,10266.1049565387,179.8870915129
-98.5,9999.9972975,178.51
-91.5,8910.0037425,172.05
-84.9,7939.9992525,165.77
-78.4,7080.003315,159.78
-72.2,6310.0042425,153.94
-66.3,5620.0012575,148.24
-60.5,5010.0044925,142.7
-55,4470.0030375,137.3
-49.7,3979.9953375,132.07
-44.5,3550.002435,127
-39.6,3160.00251,122.08
-34.9,2819.99634,117.32
-30.3,2510.002635,112.7
-26,2240.0019075,108.23
-21.8,2000.0035125,103.9
-17.7,1779.99654,99.58
-13.9,1580.001255,95.26
-10.2,1409.99817,91.29
-6.7,1259.99664,87.32
-3.3,1119.9958875,82.85
0,999.99972975,80.21
3.4,891.00037425,76.9
6.7,793.99992525,73.6
10,708.0003315,71.04
13.2,631.00042425,68.49
16.3,562.00012575,66.39
19.4,501.00044925,64.29
22.3,447.00030375,62.63
25.2,397.99953375,60.96
28.1,355.0002435,59.66
30.9,316.000251,58.35
33.6,281.999634,57.29
36.3,251.0002635,56.24
38.9,224.00019075,55.43
41.5,200.00035125,54.62
44.1,177.999654,54.07
46.7,159.00020325,53.52
49.2,140.999817,53.1
51.7,125.999664,52.68
54.2,111.99958875,52.55
56.7,99.999972975,52.42
59.2,89.100037425,52.42
61.7,79.399992525,52.42
64.2,70.80003315,52.38
66.7,63.100042425,52.35
69.2,56.200012575,52.42
71.7,50.100044925,52.49
74.2,44.700030375,52.64
76.7,39.799953375,52.79
79.2,35.50002435,52.94
81.8,31.6000251,53.1
84.3,28.1999634,53.36
86.8,25.10002635,53.63
89.4,22.400019075,54.01
92,19.90002735,54.39
94.6,17.7999654,55.14
97.2,15.80001255,55.88
99.9,14.0999817,56.82
102.7,12.5999664,57.76
105.4,11.199958875,58.79
108.3,9.9999972975,59.83
111.1,8.9100037425,60.97
114.1,7.9399992525,62.12
117.1,7.080003315,63.44
120.2,6.3100042425,64.76
123.3,5.6200012575,66.33
126.5,5.0100044925,67.89
129.8,4.4700030375,69.71
133.2,3.9799953375,71.53
136.7,3.550002435,73.4
140.3,3.16000251,75.27
143.9,2.81999634,77.1
147.7,2.510002635,78.94
151.5,2.2400019075,80.71
155.4,1.990002735,82.49
159.5,1.77999654,84.18
163.6,1.5900020325,85.88
167.7,1.40999817,87.48
172,1.25999664,89.09
176.3,1.1199958875,90.61
180.7,0.9999997298,92.14
185.2,0.8910003743,93.6
189.8,0.7939999253,95.07
194.4,0.7080003315,96.5
199.1,0.6310004243,97.93
203.8,0.5620001258,99.35
208.6,0.5010004493,100.77
213.5,0.4470003038,102.21
218.5,0.3979995338,103.65
223.5,0.3550002435,105.12
228.6,0.316000251,106.6
233.8,0.281999634,108.11
239.1,0.2510002635,109.62
244.4,0.2240001908,111.17
249.8,0.1990002735,112.71
255.3,0.177999654,114.29
260.8,0.1590002033,115.88
266.5,0.140999817,117.48
272.2,0.125999664,119.09
278,0.1119995888,120.71
283.9,0.099999973,122.34
289.8,0.0891000374,123.97
295.9,0.0793999925,125.61
302,0.0708000332,127.25
308.2,0.0631000424,128.89
314.5,0.0562000126,130.54
320.8,0.0501000449,132.18
327.3,0.0447000304,133.83
333.8,0.0397999534,135.48
340.5,0.0355000244,137.13
347.2,0.0316000251,138.78
354,0.0281999634,140.43
360.8,0.0251000264,142.08
367.8,0.0224000191,143.73
374.8,0.0200000351,145.38
381.9,0.0177999654,147.03
389.2,0.0158000126,148.68
396.4,0.0140999817,150.33
403.8,0.0125999664,151.98
411.3,0.0111999589,153.63
418.8,0.0099999973,155.28
426.5,0.0089100037,156.93
434.2,0.0079399993,158.58
442,0.0070800033,160.23
449.9,0.0063100042,161.88
457.9,0.0056200013,163.53
465.9,0.0050100045,165.18
474.1,0.004470003,166.83
482.3,0.0039799953,168.48
490.6,0.0035500024,170.13
499,0.0031600025,171.78
507.5,0.0028199963,173.43
516.1,0.0025100026,175.08
524.8,0.0022400019,176.73
533.5,0.0019900027,178.38
542.4,0.0017799965,180.03
551.3,0.001590002,181.68
560.7,0.0014099982,197.46
570.9,0.0012599966,213.24
581.8,0.0011199959,229.04
593.5,0.0009999997,244.84
606.1,0.0008910004,260.64
619.4,0.0007939999,276.44
633.6,0.0007080003,292.24
648.5,0.0006310004,308.04
664.2,0.0005620001,323.84
680.8,0.0005010004,339.64
698.2,0.0004470003,355.44
716.3,0.0003979995,371.24
735.3,0.0003550002,386.54
755.2,0.0003160003,401.84
775.8,0.0002819996,418.14
797.3,0.0002510003,434.44
819.3,0.0002240002,437.87
841.5,0.0002000004,441.3
863.9,0.0001779997,444.72
886.5,0.0001580001,448.15
909.4,0.0001409998,451.58
932.4,0.0001259997,455.01
955.7,0.0001119996,458.44
979.2,0.0001,461.87
1000,8.22242649947069E-005,465.3717325655
